1001 Nguyen_Van_An 0012012010 123456789012 1990-01-01 1
1002 Tran_Thi_Binh 0902345678 234567890123 1992-05-20 2
1003 Le_Hoang_Cuong 0903456789 345678901234 1993-12-10 1
1004 Pham_Thi_Dung 0904567890 456789012345 1994-08-25 2
1005 Hoang_Van_Em 0905678901 567890123456 1996-11-30 1
1006 Vu_Thi_Phuong 0906789012 678901234567 1991-04-05 2
1007 Do_Van_Giang 0907890123 789012345678 1995-07-18 1
1008 Ngo_Thi_Hang 0908901234 890123456789 1993-02-22 2
1009 Bui_Van_Inh 0909012345 901234567890 1997-09-14 1
1010 Dao_Thi_Kieu 0910123456 012345678901 1994-06-07 2
1011 Cao_Van_Long 0911234567 123450987654 1992-10-28 1
1012 Ly_Thi_Mai 0912345678 234561098765 1995-12-13 2
1013 Truong_Van_Nam 0913456789 345672109876 1996-03-19 1
1014 Dinh_Thi_Oanh 0914567890 456783210987 1993-08-04 2
1015 Lam_Van_Phuc 0915678901 567894321098 1994-05-11 1
1 Võ_Phi_Nhật_Huy 0326210486 044206005555 2006-01-15 1
